date,Sentiment_NLTK,Sentiment_TB,neg,neu,pos,compound,Subjectivity,Polarity
2024-01-21 16,Positive,Positive,0.0,0.8875,0.1125,0.46045,0.3005681818181818,0.06079545454545454
2024-01-21 15,Positive,Positive,0.019,0.9279999999999999,0.053,0.055733333333333336,0.41818181818181815,0.2246212121212121
2024-01-21 14,Positive,Positive,0.0,0.87775,0.12225,0.55775,0.42986111111111114,0.36041666666666666
2024-01-21 13,Positive,Positive,0.0,0.8205,0.1795,0.661,0.5625,0.33333333333333337
2024-01-21 12,Negative,Positive,0.093,0.849,0.058,-0.3182,0.1111111111111111,0.09999999999999999
2024-01-21 11,Positive,Positive,0.0,0.831,0.169,0.6249,0.425,0.15
2024-01-21 02,Positive,Positive,0.0,0.945,0.055,0.2023,0.44375,0.06875
2024-01-20 21,Positive,Positive,0.0,0.801,0.199,0.7351,0.5,0.25
2024-01-20 19,Positive,Positive,0.0,0.8594999999999999,0.1405,0.5466500000000001,0.509469696969697,0.26325757575757575
2024-01-20 18,Negative,Neutral,0.093,0.907,0.0,-0.5106,0.4166666666666667,0.0
2024-01-20 17,Positive,Positive,0.0,0.9115,0.0885,0.29295,0.4181818181818182,0.06420454545454544
2024-01-20 16,Negative,Positive,0.119,0.881,0.0,-0.5859,0.375,0.2
2024-01-20 15,Positive,Positive,0.0,0.92525,0.07475000000000001,0.2907,0.25757575757575757,0.14498106060606059
2024-01-20 14,Negative,Positive,0.0374,0.8714000000000001,0.0912,0.26198,0.4666666666666667,0.22999999999999998
2024-01-20 13,Positive,Positive,0.0,0.838,0.162,0.6124,0.5416666666666667,0.25
2024-01-20 12,Negative,Positive,0.093,0.849,0.058,-0.3182,0.1111111111111111,0.09999999999999999
2024-01-20 10,Positive,Positive,0.049,0.889,0.062,0.128,0.5355555555555555,0.23111111111111113
2024-01-20 09,Negative,Positive,0.085,0.915,0.0,-0.4215,0.225,0.1
2024-01-20 08,Negative,Neutral,0.066,0.934,0.0,-0.34,0.425,0.0
2024-01-20 07,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-20 06,Neutral,Neutral,0.0,1.0,0.0,0.0,0.5875,0.0
2024-01-20 05,Positive,Positive,0.0,0.917,0.083,0.4215,0.20924242424242423,0.04727272727272727
2024-01-20 02,Positive,Positive,0.0,0.9215,0.0785,0.26025,0.2924107142857143,0.06294642857142857
2024-01-20 01,Positive,Positive,0.0,0.854,0.146,0.7003,0.5499999999999999,0.09999999999999999
2024-01-19 23,Positive,Negative,0.0,0.901,0.099,0.5267,0.2888888888888889,-0.15555555555555559
2024-01-19 22,Neutral,Neutral,0.0,1.0,0.0,0.0,0.25,0.0
2024-01-19 20,Negative,Positive,0.053,0.926,0.021,-0.1437,0.4886363636363636,0.23551136363636366
2024-01-19 19,Negative,Positive,0.0865,0.8374999999999999,0.076,-0.10785,0.35738636363636367,0.18409090909090908
2024-01-19 17,Neutral,Positive,0.0,0.922,0.078,0.3337,0.4923611111111111,0.071875
2024-01-19 16,Neutral,Positive,0.039,0.898,0.063,0.11545,0.41805555555555557,0.19965277777777776
2024-01-19 15,Neutral,Positive,0.0165,0.87425,0.10925000000000001,0.30920000000000003,0.5037878787878788,0.1521780303030303
2024-01-19 14,Positive,Positive,0.0,0.88,0.12000000000000001,0.39925,0.4625,0.26249999999999996
2024-01-19 13,Positive,Positive,0.0,0.8585,0.14150000000000001,0.5356000000000001,0.3416666666666667,0.125
2024-01-19 12,Positive,Neutral,0.0,0.906,0.094,0.4767,0.1,0.0
2024-01-19 11,Negative,Positive,0.0915,0.848,0.0605,-0.2841,0.5055555555555555,6.938893903907228e-18
2024-01-19 10,Positive,Positive,0.042333333333333334,0.8783333333333333,0.07933333333333333,0.19063333333333332,0.24444444444444446,0.04444444444444443
2024-01-19 09,Neutral,Negative,0.0,1.0,0.0,0.0,0.43499999999999994,-0.025
